trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-104.80265245727514,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-171.9787467740406,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-83.08813384035247,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-79.45772144535812,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-171.22291410990073,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,3,-61.13532535453391,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-57.992455327390175,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-67.76823241975883,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,4,-121.88696943972715,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-112.86107190838355,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-65.76177466301772,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-43.52250843701073,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-41.477621213700004,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,21,-24.773827837381774,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,17,-20.129755353368534,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,12,14.101891805304936,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,6,-43.53986407762551,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,2.966131027885338,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,5,29.105207614319426,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,10,-21.847615849270507,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-71.08771287567409,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,2,3.8740441851336307,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,-22.473400384334962,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,2,-23.643603674228153,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",30,13,-14.145965648497787,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,38.096828348537045,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,12,16.656897119246974,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,14,17.64945632536834,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,5,27.372467930545504,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,3,-17.990119671786996,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
