trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-129.5228357623589,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9950041652780258}",20,0,-85.92044987586223,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9887710779360422}",35,0,-134.9639010759123,"{0: 20, 1: 4, 2: 8, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9800665778412416}",30,0,-228.02098896254154,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9689124217106447}",25,0,-123.99355898976859,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-66.03564836681161,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9393727128473789}",20,0,-85.03804893414298,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-66.18710079475096,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,0,-34.088663170345264,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-131.1736606221914,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8525245220595057}",20,0,-67.37656868059477,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8253356149096782}",25,0,-171.51348280203715,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.7960837985490558}",25,0,-149.63767851242787,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.7648421872844884}",20,0,-166.17657587565293,"{0: 12, 1: 3, 2: 0, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.7316888688738209}",20,0,-90.6396644015337,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.6967067093471654}",20,15,3.9851750249351054,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.6599831458849821}",20,0,-52.86157894071505,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.6216099682706644}",25,10,-2.05152164052624,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.5816830894638835}",20,14,8.786073591212418,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.5403023058681397}",25,10,-19.333061467663892,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.49757104789172696}",25,0,-107.46797815890618,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.4535961214255773}",30,0,-64.26560336028375,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.40848744088415717}",20,16,7.079725843886306,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.3623577544766734}",30,24,11.524921722027903,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.3153223623952687}",20,16,9.549144055692071,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.26749882862458735}",25,0,-58.652835393978634,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.2190066870930415}",20,14,12.614971693623016,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.16996714290024081}",25,0,21.437043291630005,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.1205027693673664}",20,9,10.387951115915664,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,0,-8.400871240625507,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.020794827803092428}",20,2,29.317617746250956,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': -0.029199522301288815}",20,14,4.646746869241755,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': -0.07912088880673408}",25,14,-19.11558824734422,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': -0.12884449429552486}",25,10,3.537997784890363,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': -0.17824605564949209}",20,14,11.779627175109518,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': -0.2272020946930871}",25,17,15.288355595393394,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': -0.27559024682451294}",20,16,8.336327616201487,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': -0.3232895668635036}",20,9,24.784815419560374,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': -0.3701808313512871}",30,20,17.366448190250136,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': -0.4161468365471424}",20,3,-15.117389425721708,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': -0.46107269137671314}",25,20,10.934445434068635,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': -0.5048461045998576}",25,17,13.199090241873128,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': -0.547357665480271}",25,6,27.857035661636527,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': -0.5885011172553458}",35,12,-3.0679451360324475,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': -0.6281736227227391}",35,15,33.972874978354085,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': -0.6662760212798244}",25,11,24.103514740451615,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': -0.7027130767735539}",20,13,11.206325138539947,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': -0.7373937155412458}",25,7,-12.783993075302497,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': -0.7702312540473074}",20,2,26.73908913467628,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': -0.8011436155469337}",25,13,19.750380229409437,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': -0.8300535352352224}",25,13,18.56229716482994,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': -0.8568887533689473}",25,11,25.12864038563195,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': -0.8815821958782861}",20,16,6.379597019309675,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': -0.9040721420170612}",20,13,11.919686593407274,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': -0.9243023786324636}",20,0,-10.948021235412952,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': -0.9422223406686583}",20,0,-12.477056773150442,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': -0.9577872375530904}",35,20,26.591942960539992,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': -0.9709581651495907}",20,0,36.15679981026816,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': -0.9817022029984541}",20,11,20.112993337714038,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': -0.9899924966004454}",20,12,12.577194767593067,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': -0.9958083245390612}",20,6,20.681244872911897,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': -0.9991351502732795}",20,3,6.068441243214653,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
63,False,"{'a': 0.5, 'e': -0.999964658471342}",20,13,14.640165476176787,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': -0.9982947757947531}",20,9,19.649254829019544,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': -0.9941296760805463}",20,2,26.77998177949738,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': -0.9874797699088649}",25,17,12.99172883542193,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': -0.9783616785819341}",20,12,14.643932495354765,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': -0.9667981925794609}",20,11,16.46712954370408,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': -0.9528182145943047}",20,15,9.675860680037726,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': -0.9364566872907963}",20,6,24.045552087679535,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': -0.9177545059662758}",20,11,18.687404219101133,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': -0.896758416334147}",25,11,25.75140937504016,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': -0.8735208976839377}",25,11,24.407852584056965,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': -0.848100031710408}",20,15,9.172141486341154,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': -0.8205593573395608}",20,8,24.062115657605858,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': -0.7909677119144165}",20,15,9.252261277352202,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': -0.7593990591375079}",20,13,12.26376473881102,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': -0.7259323042001399}",25,5,-5.190126395837877,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': -0.6906510965605075}",25,3,31.894170158906228,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': -0.6536436208636119}",35,18,27.507862057029264,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': -0.6150023765255744}",20,16,7.16017394651892,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': -0.5748239465332685}",35,0,10.631239365534242,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': -0.5332087560371543}",20,0,30.398899840449282,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': -0.4902608213406994}",25,7,30.868760460862138,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': -0.4460874899137928}",25,10,29.673801106683506,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': -0.40079917207997545}",25,18,9.609975707464699,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': -0.3545090650481311}",25,17,14.373701754182427,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
