trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-38.07202297789199,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-199.20079635942574,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-174.2109489618935,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-154.3778496052134,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,8,-40.13623398454484,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-96.60667912240376,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-138.7321001119386,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-86.1661441895564,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-141.50840590963503,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-68.163858980448,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-155.92993554009544,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-91.88743830378888,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-181.59995389056365,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-149.116188737865,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-93.5399007122498,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-59.25439144941517,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-85.1263062171827,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-139.8425317116317,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-148.88367036490254,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,-189.95736872803823,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",30,0,-156.6812172878204,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-75.4587944105962,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-90.03706586513373,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-125.62326746475884,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-88.06764678005764,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-68.10227913909937,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-85.66445542383991,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-93.67741605441373,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-107.2682847597933,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,14,-2.0991095379435247,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
